"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",6.66666666666667,1.15,0.803226388888889,5,0.1
"München","Deutschland :de:",6.1,6.55,3.5633287037037,3,6.45
"Hamburg","Deutschland :de:",6.13333333333333,1.08333333333333,0,4,4.4
"Köln","Deutschland :de:",6.21666666666667,7.9,3.76146435185185,4,4
"Dresden","Deutschland :de:",6.16666666666667,4.08333333333333,1.67180138888889,3,7.8
"Leipzig","Deutschland :de:",6.23333333333333,2.21666666666667,0.404362962962963,3,4.8
"Frankfurt am Main","Deutschland :de:",6.06666666666667,6.03333333333333,2.33851203703704,4,10.9
"Freiburg im Breisgau","Deutschland :de:",6.23333333333333,8.35,4.06272685185185,3,3.83
"Berchtesgaden","Deutschland :de:",6.48333333333333,5.78333333333333,6.35875138888889,2,3.01
"Garmisch-Partenkirchen","Deutschland :de:",6.35,6.85,5.56863611111111,3,3.55
"Binz (Rügen)","Deutschland :de:",6.13333333333333,0.35,0.476936574074074,4,0.54
"Heringsdorf (Usedom)","Deutschland :de:",6.56666666666667,0.116666666666667,0.626306481481481,6,0
"Westerland (Sylt)","Deutschland :de:",6.1,0.45,0.677726851851852,5,0.33
"Wernigerode (Harz)","Deutschland :de:",6.86666666666667,3.06666666666667,3.38539212962963,4,2.9
"Cochem (Mosel)","Deutschland :de:",6.51666666666667,7.9,3.15899675925926,4,7.5
"Kempten (Allgäu)","Deutschland :de:",5.9,6.81666666666667,4.41422361111111,3,5
"Nürnberg","Deutschland :de:",6.3,5.15,1.98281435185185,3,8.69
"Münster","Deutschland :de:",7.23333333333333,6.8,4.31207824074074,4,0.8
"Stuttgart","Deutschland :de:",6.16666666666667,8.16666666666667,3.27068842592593,3,3.76
"Norderney","Deutschland :de:",6.66666666666667,1.8,2.15418009259259,6,0
"Erfurt","Deutschland :de:",6.56666666666667,1.56666666666667,1.21371435185185,4,7.6
"Bremen","Deutschland :de:",6.33333333333333,1.73333333333333,0.0838083333333333,5,2
"Timmendorfer Strand","Deutschland :de:",6.23333333333333,0.8,0.0020587962962963,4,1.4
"Karlsbad","Tschechien :cz:",6.3,2.91666666666667,1.01212453703704,4,8.8
