"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"25.02.2026",8.8,14.3,9.25321944444444,0,0
"26.02.2026",9,16.5,9.28510277777778,0,0
"27.02.2026",9,17.8,9.58684444444444,0,0
"28.02.2026",8.6,14.5,9.98352222222222,0,0
"01.03.2026",6.8,8,0,0,0
"02.03.2026",8.6,12.2,10.1011166666667,0,0
"03.03.2026",8.8,13.5,10.1595305555556,0,0
"04.03.2026",8.6,13.2,10.1349805555556,0,0
"05.03.2026",8,14.4,8.50706111111111,0,0
"06.03.2026",8.4,16,10.4173444444444,0,0
"07.03.2026",7.6,4.9,10.3959277777778,0,0
