"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",6.6,-0.9,7.59950555555556,1,0
"München","Deutschland :de:",7.8,4,7.73140833333333,1,0
"Hamburg","Deutschland :de:",6.6,-0.9,7.61611666666667,1,0
"Köln","Deutschland :de:",7.2,8,7.97717777777778,0,0.9
"Dresden","Deutschland :de:",7.6,1.4,7.84153055555556,1,0
"Leipzig","Deutschland :de:",7.6,0.2,7.181075,1,0
"Frankfurt am Main","Deutschland :de:",7.8,5.2,6.03418611111111,1,0
"Freiburg im Breisgau","Deutschland :de:",7.6,7,8.44341388888889,1,0
"Berchtesgaden","Deutschland :de:",7.8,3.4,8.44343333333333,1,0
"Garmisch-Partenkirchen","Deutschland :de:",7.8,4.9,8.53791944444444,1,0
"Binz (Rügen)","Deutschland :de:",6.4,-0.2,7.22369722222222,1,0
"Heringsdorf (Usedom)","Deutschland :de:",6.4,-1.3,7.51556388888889,1,0
"Westerland (Sylt)","Deutschland :de:",7.4,2.7,6.23745833333333,1,0
"Wernigerode (Harz)","Deutschland :de:",7.4,1.7,7.17920277777778,1,0
"Cochem (Mosel)","Deutschland :de:",7.8,7.9,8.056375,0,0.4
"Kempten (Allgäu)","Deutschland :de:",7.8,3.9,8.53707222222222,1,0
"Nürnberg","Deutschland :de:",7.6,2.9,5.56788888888889,1,0
"Münster","Deutschland :de:",7.8,7.4,7.75646944444444,1,0
"Stuttgart","Deutschland :de:",8,6.2,8.36295,1,0
"Norderney","Deutschland :de:",6.4,2.4,0,1,0
"Erfurt","Deutschland :de:",7.6,1.8,7.4583,1,0
"Bremen","Deutschland :de:",7.6,0.5,7.36921388888889,1,0
"Timmendorfer Strand","Deutschland :de:",6.4,-0.7,7.5573,1,0
"Karlsbad","Tschechien :cz:",7.6,2,7.93379722222222,1,0
"Enschede","Niederlande :nl:",7,7.2,3.31955277777778,0,0.6
"Pilsen","Tschechien :cz:",7.8,3.2,6.41870555555556,1,0
"Maastricht","Niederlande :nl:",7.6,8.4,7.97216111111111,0,0.1
"Giethoorn","Niederlande :nl:",5.8,6.4,0.797041666666667,0,3.1
"Groningen","Niederlande :nl:",6.6,3,0.327152777777778,1,0
"Eindhoven","Niederlande :nl:",6.6,8.4,0.809005555555556,0,0.1
"Prag","Tschechien :cz:",7.6,2.6,5.45612222222222,1,0
"Luxemburg","Luxemburg :lu:",6.6,6.2,1.80493333333333,0,0.1
"Straßburg","Frankreich :fr:",7.6,7.2,8.22756666666667,1,0
"Amsterdam","Niederlande :nl:",7.4,8,7.57192222222222,0,0.1
"Dinant","Belgien :be:",7.6,8.2,6.71876111111111,1,0
"Rotterdam","Niederlande :nl:",7.6,7.1,7.87696111111111,1,0
"Antwerpen","Belgien :be:",6.6,6.8,0,1,0
"Zandvoort","Niederlande :nl:",7.8,6.8,7.85976944444444,1,0
"Český Krumlov","Tschechien :cz:",7.8,2.2,6.20143888888889,1,0
"Terschelling","Niederlande :nl:",6,5.4,0,0,1.2
"Noordwijk","Niederlande :nl:",7.8,7.9,7.86556388888889,1,0
"Bergen aan Zee","Niederlande :nl:",7.6,7.7,6.18999444444444,0,0.1
"Nancy","Frankreich :fr:",7.4,7.1,6.70500277777778,1,0
"Brüssel","Belgien :be:",7,7.6,2.29585833333333,1,0
"Texel","Niederlande :nl:",6.8,6.9,1.43590833333333,0,0.3
"Scheveningen","Niederlande :nl:",7.8,7.3,7.89920833333333,1,0
"Fåborg","Dänemark :dk:",7.6,3.1,7.27165833333333,1,0
"Salzburg","Österreich :at:",7.8,3.3,8.43032777777778,1,0
"Renesse","Niederlande :nl:",6.8,7.1,0.646944444444444,1,0
"Linz","Österreich :at:",7.6,2.6,6.9554,1,0
"Zürich","Schweiz :ch:",7.4,4.7,7.73803055555556,1,0
"Basel","Schweiz :ch:",7.4,5.9,7.40428055555556,1,0
"Innsbruck","Österreich :at:",8,6.2,8.55018888888889,1,0
"Domburg","Niederlande :nl:",7,6.6,1.19442222222222,1,0
"Breslau","Polen :pl:",6.6,-0.1,7.875025,1,0
"Køge","Dänemark :dk:",7.4,2.5,7.19091944444444,1,0
"Posen","Polen :pl:",6.6,-1.7,7.84245,1,0
"Zell am See","Österreich :at:",7.6,5,8.53254722222222,0,0.1
"Brügge","Belgien :be:",6.8,6.5,1.56493055555556,1,0
"Hallstatt","Österreich :at:",7.8,4.5,8.47773611111111,1,0
"Luzern","Schweiz :ch:",7.6,5.5,8.55154166666667,1,0
"De Haan","Belgien :be:",7,6.8,2.17276111111111,1,0
"Ostende","Belgien :be:",6.8,6.8,1.67634444444444,1,0
"Kopenhagen","Dänemark :dk:",7.4,2.7,7.16358611111111,0,0.3
"Malmö","Schweden :se:",7.6,3.6,7.26546388888889,1,0
"Brünn","Tschechien :cz:",6,1.4,0,0,0.8
"Meran","Italien :it:",7.6,6.4,8.60501666666667,0,0.2
"Bern","Schweiz :ch:",7.6,4.2,8.53474444444445,1,0
"Bornholm","Dänemark :dk:",7.6,1.9,7.33870833333333,1,0
"Aarhus","Dänemark :dk:",6.2,1.7,0,0,0.1
"St. Moritz","Schweiz :ch:",6.4,-4,8.68931388888889,1,0
"Hvide Sande","Dänemark :dk:",5.8,2.7,0,0,0.4
"Interlaken","Schweiz :ch:",7.6,7.4,8.56625277777778,1,0
"Bozen","Italien :it:",7.8,6.4,8.60657222222222,1,0
"Wien","Österreich :at:",7.6,4.8,7.01913888888889,0,0.1
"Dijon","Frankreich :fr:",6.2,6,6.98549444444444,0,7.2
"Ostrava","Tschechien :cz:",6,0.5,2.54019722222222,0,3
"Klagenfurt am Wörthersee","Österreich :at:",6.6,2.2,3.34684166666667,0,0.6
"Riva del Garda","Italien :it:",7.6,6.4,8.66595277777778,0,0.2
"Graz","Österreich :at:",6.6,2,0.187066666666667,1,0
"Le Touquet-Paris-Plage","Frankreich :fr:",7.4,7.4,5.48431666666667,1,0
"Bratislava","Slowakei :sk:",6.2,3.6,0,0,0.3
"Zermatt","Schweiz :ch:",5.6,-2.3,8.61951944444444,0,0.5
"Bled","Slowenien :si:",5.4,3.2,0.0429972222222222,0,2.1
"Paris","Frankreich :fr:",6.6,7.8,4.33094722222222,0,1.5
"Norwich","England :gb-eng:",7.2,7.1,5.88050277777778,1,0
"Ipswich","England :gb-eng:",7.2,6.8,5.63445277777778,1,0
"Katowice","Polen :pl:",7.8,8.8,8.10980833333333,1,0
"Torri del Benaco","Italien :it:",7.8,6,8.69635555555556,1,0
