"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"08.11.2025",8.2,10,7.77304722222222,0,0
"09.11.2025",7.4,10.2,2.81272222222222,0,0
"10.11.2025",6.6,9.9,0,0.4,0
"11.11.2025",6.8,10.1,0.535780555555556,0.3,0
"12.11.2025",8.2,11.5,7.70033888888889,0,0
"13.11.2025",8.2,12.7,7.63071944444444,0,0
"14.11.2025",8.2,15.6,7.58904444444445,0,0
"15.11.2025",8.4,14.9,7.54226944444444,0,0
"16.11.2025",8.4,15.1,7.496175,0,0
"17.11.2025",7.6,12.7,6.76649444444444,0.4,0
"18.11.2025",7.4,11.1,4.62375277777778,0.3,0
