"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"14.12.2025",8.4,15.8,6.21220555555556,0,0
"15.12.2025",8.8,17.4,7.20536388888889,0,0
"16.12.2025",5.8,17.5,0,2,0
"17.12.2025",9.2,19.1,8.46785277777778,0,0
"18.12.2025",9.2,18.5,8.41562777777778,0,0
"19.12.2025",7.6,19.3,1.92133888888889,0,0
"20.12.2025",2.3,17.9,0,1.9,11
"21.12.2025",6.8,15.1,5.35934166666667,2.1,0
"22.12.2025",7.4,16,8.46207222222222,0,2
"23.12.2025",6.4,15.9,8.46365555555556,0,4
"24.12.2025",7.8,15,8.46633611111111,0,0
