"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",9.26666666666667,25.5666666666667,13.9591861111111,1,1.6
"München","Deutschland :de:",6.53333333333333,18.3666666666667,6.48566574074074,0,7.9
"Hamburg","Deutschland :de:",7.46666666666667,16.2,6.81139814814815,1,3.7
"Köln","Deutschland :de:",6.26666666666667,15.4,1.3629537037037,1,9.5
"Dresden","Deutschland :de:",9,24.2,12.383087962963,2,1.6
"Leipzig","Deutschland :de:",8.6,22.1,13.5096324074074,0,3.9
"Frankfurt am Main","Deutschland :de:",6.33333333333333,16.5,3.188925,1,18.7
"Freiburg im Breisgau","Deutschland :de:",5.6,16.2,2.78325925925926,0,18.1
"Berchtesgaden","Deutschland :de:",6.4,17.8333333333333,9.15161111111111,0,9.1
"Garmisch-Partenkirchen","Deutschland :de:",2.5,14.7666666666667,5.47705185185185,0,27
"Binz (Rügen)","Deutschland :de:",7.6,15.4,6.6069537037037,1,3.8
"Heringsdorf (Usedom)","Deutschland :de:",8.33333333333333,16.8666666666667,12.3138944444444,2,3.7
"Westerland (Sylt)","Deutschland :de:",7.93333333333333,11.3,10.1198425925926,2,0.2
"Wernigerode (Harz)","Deutschland :de:",6.6,17,4.13297222222222,0,11.9
"Cochem (Mosel)","Deutschland :de:",5.86666666666667,16.3666666666667,0.912944444444444,0,19.7
"Kempten (Allgäu)","Deutschland :de:",4.7,14.3333333333333,3.65159722222222,0,16.7
"Nürnberg","Deutschland :de:",6.8,18.3666666666667,3.43862592592593,0,8.7
"Münster","Deutschland :de:",6.2,15.3666666666667,0,1,3.9
"Stuttgart","Deutschland :de:",5.73333333333333,16.5666666666667,3.08527777777778,0,18.5
"Norderney","Deutschland :de:",7.66666666666667,10.7333333333333,9.6706537037037,2,1.2
"Erfurt","Deutschland :de:",6.66666666666667,18.2333333333333,2.35043333333333,0,13.5
"Bremen","Deutschland :de:",6.8,15.6,4.3175962962963,1,6.3
"Timmendorfer Strand","Deutschland :de:",8.06666666666667,14.8,8.46828148148148,1,1.7
"Karlsbad","Tschechien :cz:",7.93333333333333,21.5,8.13027314814815,0,2.5
"Enschede","Niederlande :nl:",6.93333333333333,15.2666666666667,2.5249712962963,1,6.2
"Pilsen","Tschechien :cz:",8.13333333333333,22.1,8.30270833333333,1,3
"Maastricht","Niederlande :nl:",6.2,15.3,1.50211481481481,1,11
"Giethoorn","Niederlande :nl:",7.8,14.8666666666667,7.89034722222222,1,2.2
"Groningen","Niederlande :nl:",8.06666666666667,12.7333333333333,9.51438796296296,3,0
"Eindhoven","Niederlande :nl:",6.93333333333333,16.5,3.92818055555556,1,6.3
"Prag","Tschechien :cz:",8.53333333333333,26.6,14.4267833333333,1,10.2
"Luxemburg","Luxemburg :lu:",6.13333333333333,15.3666666666667,3.74273055555556,0,20
"Straßburg","Frankreich :fr:",5.66666666666667,17.2666666666667,0.885958333333333,0,24.4
"Amsterdam","Niederlande :nl:",7.8,15.0333333333333,9.19879444444445,2,2.5
"Dinant","Belgien :be:",6.53333333333333,15.4,2.06077407407407,1,4.6
"Rotterdam","Niederlande :nl:",7.13333333333333,15.0333333333333,4.76846203703704,2,3.2
"Antwerpen","Belgien :be:",6.86666666666667,16.1,3.35816574074074,1,5.1
"Zandvoort","Niederlande :nl:",7.93333333333333,12.8333333333333,10.4554240740741,2,2.2
"Český Krumlov","Tschechien :cz:",7.86666666666667,21.8,12.7274703703704,0,6.6
"Terschelling","Niederlande :nl:",8.46666666666667,10.3333333333333,13.7797675925926,3,0
"Noordwijk","Niederlande :nl:",7.93333333333333,14.1333333333333,9.90464907407407,2,2.3
"Bergen aan Zee","Niederlande :nl:",8.33333333333333,14.2,12.8203166666667,2,1
"Nancy","Frankreich :fr:",5.53333333333333,15.6666666666667,0.884440740740741,0,23.8
"Brüssel","Belgien :be:",6.6,16.0666666666667,0.997226851851852,1,4.9
"Texel","Niederlande :nl:",8.2,11.6666666666667,13.8536722222222,2,0.6
"Scheveningen","Niederlande :nl:",7.86666666666667,13.9333333333333,8.60257592592593,2,2.2
"Fåborg","Dänemark :dk:",8.6,16.5,13.0689759259259,2,0.1
"Salzburg","Österreich :at:",6.66666666666667,19.7,8.48217037037037,0,6.6
"Renesse","Niederlande :nl:",7.8,12.9,8.28159444444444,1,0.9
"Linz","Österreich :at:",8.53333333333333,23.3666666666667,11.8973453703704,0,3.5
"Zürich","Schweiz :ch:",6,15.8333333333333,4.72110925925926,0,15.5
"Basel","Schweiz :ch:",4.43333333333333,16.6333333333333,2.62924722222222,0,27.1
"Innsbruck","Österreich :at:",5.56666666666667,19.1333333333333,6.4238212962963,0,7.2
"Domburg","Niederlande :nl:",7.73333333333333,13.1333333333333,8.04900555555556,0,1.6
"Breslau","Polen :pl:",9.4,27.0333333333333,14.7666842592593,3,0
"Køge","Dänemark :dk:",8,17.2333333333333,9.53918611111111,0,3.9
"Posen","Polen :pl:",9.4,27.7666666666667,14.9548166666667,3,0
"Zell am See","Österreich :at:",6.3,19.7666666666667,12.3560472222222,0,12
"Brügge","Belgien :be:",7.13333333333333,14,4.46365277777778,1,1.5
