"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"17.02.2026",7,-2.1,8,0,0
"18.02.2026",1,-2.3,0.395441666666667,2.5,11
"19.02.2026",4.8,-1.9,0.944166666666667,0.23,0
"20.02.2026",6.6,-2.6,6.35525555555555,0,0
"21.02.2026",4.6,-0.1,7.58480555555556,0.4,4
"22.02.2026",6.2,2.3,2.80460277777778,0.2,0
"23.02.2026",7.4,0.8,8.79088888888889,0,0
"24.02.2026",7.6,1,8.87986111111111,0,0
"25.02.2026",5.2,0.9,0,2.6,0
"26.02.2026",7.2,2.9,9.05684444444444,0,0
"27.02.2026",4.6,1.4,0,7.6,0
