"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"01.03.2026",7.2,5.4,6.85233055555556,0.2,1
"02.03.2026",8,7.2,6.11645833333333,0,0
"03.03.2026",8.2,6.1,9.13548888888889,0,0
"04.03.2026",8.2,5.4,9.80504166666667,0,0
"05.03.2026",8.2,7.8,9.88256944444444,0,0
"06.03.2026",6.2,5,3.95777777777778,3,0
"07.03.2026",7.4,4.5,9.86519722222222,0.1,0
"08.03.2026",8,6,10.1143805555556,0.2,0
"09.03.2026",7.6,4.4,7.06377222222222,0,0
"10.03.2026",6.4,6.2,0.0386944444444444,0.6,0
"11.03.2026",8.2,5.7,10.4975805555556,0,0
