"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"24.01.2026",7.2,6.8,7.18221388888889,0.4,1
"25.01.2026",7.6,5.2,5.33675277777778,0,0
"26.01.2026",6.8,5.1,1.28044166666667,0.13,0
"27.01.2026",4.5,5.7,3.75077777777778,0.8,6
"28.01.2026",4.6,4.4,0,7.1,0
"29.01.2026",6.4,5.4,0.186208333333333,0.2,0
"30.01.2026",4.2,5.6,0.254594444444444,1.4,3
"31.01.2026",6.4,9.2,1.34391388888889,0.1,0
"01.02.2026",6.2,7.9,0.156558333333333,0.9,0
"02.02.2026",7,8.3,8.23586944444444,0.8,0
"03.02.2026",4.8,7.1,0,4.3,0
