"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",7.8,9.8,7.2985,1,0
"München","Deutschland :de:",7.2,11.2,7.99326666666667,0,0.2
"Hamburg","Deutschland :de:",7.4,8.8,7.08903333333333,1,0
"Köln","Deutschland :de:",7.4,6.7,7.56068055555556,1,0
"Dresden","Deutschland :de:",6.2,8.9,1.66605555555556,0,0.4
"Leipzig","Deutschland :de:",7.2,9.1,5.29636944444444,1,0
"Frankfurt am Main","Deutschland :de:",7,11.2,3.05539444444444,0,0.5
"Freiburg im Breisgau","Deutschland :de:",6.8,13.1,6.98138333333333,0,1.7
"Berchtesgaden","Deutschland :de:",7.4,11.5,8.02580277777778,1,0
"Garmisch-Partenkirchen","Deutschland :de:",4.2,11.4,8.04038888888889,0,0.6
"Binz (Rügen)","Deutschland :de:",6.8,8.9,6.45942777777778,0,0.6
"Heringsdorf (Usedom)","Deutschland :de:",7.8,9.1,7.05145555555556,1,0
"Westerland (Sylt)","Deutschland :de:",6.6,9.1,0,1,0
"Wernigerode (Harz)","Deutschland :de:",7.6,9.6,7.29205555555556,1,0
"Cochem (Mosel)","Deutschland :de:",7.4,6.8,7.68408055555556,1,0
"Kempten (Allgäu)","Deutschland :de:",6.8,10.3,7.97688611111111,0,0.4
"Nürnberg","Deutschland :de:",6.4,9.7,2.57685555555556,0,0.9
"Münster","Deutschland :de:",7.6,6,7.45282222222222,1,0
"Stuttgart","Deutschland :de:",6.6,10.8,3.74648888888889,0,0.6
"Norderney","Deutschland :de:",7.6,10.5,5.18143611111111,1,0
"Erfurt","Deutschland :de:",6.6,8.9,5.82323333333333,0,0.7
"Bremen","Deutschland :de:",7.4,8.8,7.19853055555556,0,0.1
"Timmendorfer Strand","Deutschland :de:",7.4,8.3,7.02030833333333,1,0
"Karlsbad","Tschechien :cz:",5.4,8.6,0,0,1.2
"Enschede","Niederlande :nl:",7.8,6.4,7.39293888888889,1,0
"Pilsen","Tschechien :cz:",6,9.6,0.702813888888889,0,1.2
"Maastricht","Niederlande :nl:",7.4,7.2,7.57213055555555,1,0
"Giethoorn","Niederlande :nl:",7.8,7.5,7.28219166666667,1,0
"Groningen","Niederlande :nl:",7.6,6.9,7.25241944444444,1,0
"Eindhoven","Niederlande :nl:",7.6,5.9,7.47917777777778,1,0
"Prag","Tschechien :cz:",5.6,9.8,0,0,2.7
"Luxemburg","Luxemburg :lu:",7,7,7.77046666666667,0,0.2
"Straßburg","Frankreich :fr:",6.2,11.5,1.85301111111111,0,0.9
"Amsterdam","Niederlande :nl:",7.6,6.6,7.308625,1,0
"Dinant","Belgien :be:",7.8,10,7.67308888888889,1,0
"Rotterdam","Niederlande :nl:",7.4,6,7.39520555555556,1,0
"Antwerpen","Belgien :be:",7.6,5.5,7.51440277777778,1,0
"Zandvoort","Niederlande :nl:",7.4,6.7,7.32115833333333,1,0
"Český Krumlov","Tschechien :cz:",7.2,11.2,7.76863888888889,0,0.9
"Terschelling","Niederlande :nl:",7.8,10.9,7.07707777777778,1,0
"Noordwijk","Niederlande :nl:",7.4,6.6,7.33363611111111,1,0
"Bergen aan Zee","Niederlande :nl:",7.6,7.8,7.25791666666667,1,0
"Nancy","Frankreich :fr:",6.4,10.7,0.110133333333333,0,0.3
"Brüssel","Belgien :be:",7.6,5.6,7.57213055555555,1,0
"Texel","Niederlande :nl:",7.6,8.2,7.19321944444444,1,0
"Scheveningen","Niederlande :nl:",7.4,6.4,7.35842777777778,1,0
"Fåborg","Dänemark :dk:",7.6,6.3,6.00034444444444,0,0.2
"Salzburg","Österreich :at:",6.2,11.9,5.579725,0,0.6
"Renesse","Niederlande :nl:",7.4,6,7.43150555555555,1,0
"Linz","Österreich :at:",7.4,13,6.24991111111111,0,0.1
"Zürich","Schweiz :ch:",6.8,11.2,7.92249444444444,0,0.4
"Basel","Schweiz :ch:",7,13.1,5.70942777777778,0,0.5
"Innsbruck","Österreich :at:",3,11.8,8.07909166666667,0,0
"Domburg","Niederlande :nl:",7.2,5.8,7.45544444444444,1,0
"Breslau","Polen :pl:",5.6,8.2,0,0,1.1
"Køge","Dänemark :dk:",7.8,6.6,6.63236944444444,1,0
"Posen","Polen :pl:",7.6,8.5,6.56948611111111,1,0
"Zell am See","Österreich :at:",6.2,10.4,8.09966388888889,0,0
"Brügge","Belgien :be:",7,4.9,7.42581111111111,1,0
"Hallstatt","Österreich :at:",6.4,12.1,8.04862777777778,0,0
"Luzern","Schweiz :ch:",7,11.2,7.98159722222222,1,0
"De Haan","Belgien :be:",7.2,5,7.38508055555556,1,0
"Ostende","Belgien :be:",7,4.8,7.37722222222222,1,0
"Kopenhagen","Dänemark :dk:",7.8,5.7,6.64778888888889,1,0
"Malmö","Schweden :se:",7.8,6.4,6.67930555555556,1,0
"Brünn","Tschechien :cz:",7.4,11.2,3.937225,1,0
"Meran","Italien :it:",6.2,11.8,8.15200833333333,0,0
"Bern","Schweiz :ch:",6,9.9,7.88655555555555,0,0
"Bornholm","Dänemark :dk:",7.4,7,6.9372,0,0.2
"Aarhus","Dänemark :dk:",6.8,6.1,0,1,0
"St. Moritz","Schweiz :ch:",4.2,4.2,8.14208888888889,0,0
