"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"01.01.2026",5,2.5,0.152544444444444,1.1,2
"02.01.2026",6.2,1.9,4.716475,1.7,0
"03.01.2026",2.2,1.2,0.231761111111111,2.3,8
"04.01.2026",6,-1.1,6.68728611111111,0,0
"05.01.2026",6,-0.7,5.83972222222222,0,0
"06.01.2026",7.4,0.4,4.41656666666667,0,0
"07.01.2026",5.8,0.7,0.114305555555556,1.8,0
"08.01.2026",5.6,-0.6,6.79728611111111,0,0
"09.01.2026",6.2,3.5,3.73884166666667,0.1,0
"10.01.2026",6.6,1.8,5.80776111111111,0.3,0
"11.01.2026",6.4,1.1,3.61021388888889,0,0
