"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"02.12.2025",7.8,6.1,5.07538055555556,0,0
"03.12.2025",8,5.6,6.61226944444444,0,0
"04.12.2025",6.6,3.4,0,0,0
"05.12.2025",7.4,4.7,3.27831388888889,0,0
"06.12.2025",5,7.9,0.213947222222222,3.2,0
"07.12.2025",5.2,8.4,0,2.5,0
"08.12.2025",5.2,9.7,1.14488333333333,3.7,0
"09.12.2025",7.6,8.7,6.41593888888889,0,0
"10.12.2025",7.8,10.4,6.33862222222222,0,0
"11.12.2025",7.6,8.3,6.58623055555556,0,0
"12.12.2025",7.4,8.4,6.51880833333333,0,0
