"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"28.01.2026",5.2,17,4.90737222222222,7.2,3
"29.01.2026",5,16.7,0.171708333333333,2.4,3
"30.01.2026",7.4,17.1,4.26334444444444,0.5,0
"31.01.2026",8.4,15.6,7.51159166666667,0,0
"01.02.2026",5.6,16,0.161527777777778,0.6,2
"02.02.2026",1,15.5,4.758,22.5,15
"03.02.2026",6.8,15.3,9.53523611111111,0,2
"04.02.2026",1.9,16.4,3.71209166666667,13.34,11
"05.02.2026",2.6,17.5,6.97226666666667,1.8,12
"06.02.2026",8,16.8,8.11816388888889,0,0
"07.02.2026",6.8,15.8,8.9281,1.8,0
