"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",7.26666666666667,12.8333333333333,8.59730030864197,5,9.7
"München","Deutschland :de:",7.31111111111111,12.0111111111111,9.19675061728395,5,4.4
"Hamburg","Deutschland :de:",7.22222222222222,11.2111111111111,7.84070339506173,4,7.4
"Köln","Deutschland :de:",7.04444444444445,13.8777777777778,6.60680586419753,3,17
"Dresden","Deutschland :de:",7.12222222222222,12.8333333333333,7.93832067901235,4,6.47
"Leipzig","Deutschland :de:",7.28888888888889,12.7555555555556,8.89811018518519,5,9.5
"Frankfurt am Main","Deutschland :de:",8.37777777777778,13.4555555555556,10.5746228395062,6,3.35
"Freiburg im Breisgau","Deutschland :de:",7.36666666666667,13.2666666666667,9.37124012345679,4,16.2
"Berchtesgaden","Deutschland :de:",6.41111111111111,10.7888888888889,9.12843580246914,5,13.77
"Garmisch-Partenkirchen","Deutschland :de:",6.15555555555556,8.67777777777778,9.07883456790123,5,17.58
"Binz (Rügen)","Deutschland :de:",7.57777777777778,9.96666666666667,8.7805037037037,5,8.8
"Heringsdorf (Usedom)","Deutschland :de:",7.61111111111111,10.4222222222222,8.51666574074074,4,4.8
"Westerland (Sylt)","Deutschland :de:",7.16666666666667,7.48888888888889,8.5888450617284,5,7.6
"Wernigerode (Harz)","Deutschland :de:",6.98888888888889,11.2333333333333,10.4991391975309,5,8.1
"Cochem (Mosel)","Deutschland :de:",7.48888888888889,14.1222222222222,9.35177654320988,4,8.8
"Kempten (Allgäu)","Deutschland :de:",6.68888888888889,10.6333333333333,10.2687845679012,5,14.75
"Nürnberg","Deutschland :de:",7.58888888888889,12.5222222222222,8.61458425925926,5,6.7
"Münster","Deutschland :de:",7.32222222222222,12.8777777777778,7.59063611111111,4,7.6
"Stuttgart","Deutschland :de:",7.56666666666667,13.1222222222222,9.44365740740741,5,8.9
"Norderney","Deutschland :de:",6.77777777777778,9.31111111111111,8.07788456790123,4,4.6
"Erfurt","Deutschland :de:",7.38888888888889,12.7111111111111,10.0138595679012,5,4.36
"Bremen","Deutschland :de:",7.58888888888889,11.6222222222222,7.97178672839506,5,4.9
"Timmendorfer Strand","Deutschland :de:",7.75555555555556,10.9,8.65097098765432,6,5.4
"Karlsbad","Tschechien :cz:",7.92222222222222,12.0222222222222,10.6702632716049,6,6.57
"Enschede","Niederlande :nl:",7.26666666666667,12.8111111111111,7.39705277777778,5,6.6
"Pilsen","Tschechien :cz:",8.4,13.0333333333333,10.9784154320988,6,0.9
"Maastricht","Niederlande :nl:",7,13.6333333333333,7.49960216049383,2,8.28
"Giethoorn","Niederlande :nl:",7.36666666666667,11.9666666666667,7.13534135802469,5,6
"Groningen","Niederlande :nl:",7.08888888888889,11.6444444444444,7.24132037037037,4,6.1
"Eindhoven","Niederlande :nl:",7.5,13.5222222222222,7.29971481481481,4,7.1
"Prag","Tschechien :cz:",8.34444444444444,13.8666666666667,10.8123820987654,8,0.1
"Luxemburg","Luxemburg :lu:",7.42222222222222,12.5111111111111,8.63900740740741,4,4.6
"Straßburg","Frankreich :fr:",7.84444444444444,13.6444444444444,9.23958240740741,5,3.5
"Amsterdam","Niederlande :nl:",7.35555555555556,12.8,7.0355487654321,4,4.2
"Dinant","Belgien :be:",7.08888888888889,13.5888888888889,7.47435586419753,2,7.96
"Rotterdam","Niederlande :nl:",7.24444444444444,13.0555555555556,7.04175864197531,2,8.9
"Antwerpen","Belgien :be:",7.43333333333333,13.1555555555556,6.89015617283951,4,3.9
"Zandvoort","Niederlande :nl:",7.37777777777778,11.0444444444444,7.69992685185185,5,3.7
"Český Krumlov","Tschechien :cz:",8.13333333333333,11.6222222222222,9.88016512345679,7,2.91
"Terschelling","Niederlande :nl:",7.71111111111111,9.85555555555556,8.88220061728395,6,6.2
"Noordwijk","Niederlande :nl:",7.33333333333333,12.4666666666667,7.77675493827161,2,7
"Bergen aan Zee","Niederlande :nl:",7.42222222222222,11.8555555555556,7.90406080246914,5,4.5
"Nancy","Frankreich :fr:",7.6,12.9333333333333,8.94252530864198,5,10.93
"Brüssel","Belgien :be:",7.26666666666667,13.3,6.39283765432099,4,5.1
"Texel","Niederlande :nl:",7.71111111111111,11.2444444444444,8.70903950617284,4,4.7
"Scheveningen","Niederlande :nl:",7.44444444444444,12.6222222222222,8.23767716049383,3,6.6
"Fåborg","Dänemark :dk:",7.48888888888889,9.98888888888889,8.04648271604938,3,7.6
"Salzburg","Österreich :at:",6.52222222222222,12.3111111111111,8.71378024691358,5,10.25
"Renesse","Niederlande :nl:",7.77777777777778,12.8,7.90424969135803,4,4
"Linz","Österreich :at:",7.84444444444444,12.9555555555556,9.19178919753086,6,2.6
"Zürich","Schweiz :ch:",7,12.8222222222222,10.0639645061728,5,8.53
"Basel","Schweiz :ch:",7.37777777777778,13.5777777777778,9.83486358024691,5,12.33
"Innsbruck","Österreich :at:",6.94444444444444,10.3,10.2375570987654,5,11.16
"Domburg","Niederlande :nl:",7.71111111111111,12.8666666666667,8.17732098765432,4,5.2
"Breslau","Polen :pl:",8.64444444444444,13.8666666666667,10.0107555555556,9,0
"Køge","Dänemark :dk:",7.36666666666667,10.9888888888889,7.93901790123457,4,11
"Posen","Polen :pl:",8.57777777777778,13.5888888888889,9.92874969135802,7,0.4
"Zell am See","Österreich :at:",6.28888888888889,8.51111111111111,9.81803148148148,5,6.75
"Brügge","Belgien :be:",7.64444444444444,13.5888888888889,7.45536604938272,3,6.91
"Hallstatt","Österreich :at:",6,10.0555555555556,8.25231851851852,5,11.1
"Luzern","Schweiz :ch:",6.73333333333333,13.1666666666667,9.88872469135802,5,10.53
"De Haan","Belgien :be:",7.62222222222222,13.2666666666667,7.85753055555556,3,7.36
"Ostende","Belgien :be:",7.62222222222222,13.2222222222222,7.88139074074074,3,8.01
"Kopenhagen","Dänemark :dk:",6.93333333333333,8.88888888888889,7.13961790123457,2,12.9
"Malmö","Schweden :se:",7.25555555555556,8.61111111111111,7.4655237654321,3,10
"Brünn","Tschechien :cz:",8.64444444444444,13.2888888888889,10.3006225308642,9,0
"Meran","Italien :it:",8.62222222222222,14.7333333333333,10.5364515432099,7,3
"Bern","Schweiz :ch:",7.71111111111111,12.5888888888889,9.86689351851852,5,10
"Bornholm","Dänemark :dk:",7.37777777777778,8.72222222222222,8.84772839506173,4,7.6
"Aarhus","Dänemark :dk:",7.31111111111111,10.3555555555556,7.37303734567901,3,7.5
"St. Moritz","Schweiz :ch:",6.76666666666667,1.73333333333333,11.1259654320988,6,11.46
"Hvide Sande","Dänemark :dk:",7.01111111111111,8.66666666666667,7.89073333333333,5,9.7
"Interlaken","Schweiz :ch:",6.78888888888889,10.8,9.12298148148148,5,21.13
"Bozen","Italien :it:",9.06666666666667,16.8777777777778,11.5846385802469,8,0.3
"Wien","Österreich :at:",8.42222222222222,14.1111111111111,9.39878919753086,7,0.8
"Dijon","Frankreich :fr:",8.02222222222222,14.1,9.05525648148148,4,7.83
"Ostrava","Tschechien :cz:",8.44444444444444,13.3,10.3182265432099,8,1.6
"Klagenfurt am Wörthersee","Österreich :at:",8.66666666666667,14.6888888888889,9.10906851851852,9,0
"Riva del Garda","Italien :it:",9.22222222222222,17.9444444444444,12.072875308642,8,0.4
"Graz","Österreich :at:",8.75555555555556,14.6777777777778,9.6812712962963,9,0
"Le Touquet-Paris-Plage","Frankreich :fr:",7.66666666666667,11.6,7.2629462962963,5,4.2
"Bratislava","Slowakei :sk:",8.55555555555556,13.5888888888889,9.60571790123457,8,2.7
"Zermatt","Schweiz :ch:",6.86666666666667,3.77777777777778,11.3734558641975,6,9.5
"Bled","Slowenien :si:",8.42222222222222,13.0666666666667,9.21678518518518,8,0
"Paris","Frankreich :fr:",7.75555555555556,13.5666666666667,6.86111635802469,5,5.4
"Norwich","England :gb-eng:",7.26666666666667,11.5111111111111,6.90378364197531,2,19.4
"Ipswich","England :gb-eng:",7.33333333333333,11.7555555555556,6.84539938271605,2,12.5
"Katowice","Polen :pl:",7.91111111111111,12.1555555555556,8.34424043209876,7,4.7
"Torri del Benaco","Italien :it:",9.22222222222222,17.5111111111111,12.2953077160494,8,0.4
"Genf","Schweiz :ch:",7.98888888888889,13.2111111111111,10.7229651234568,6,7
"Sirmione","Italien :it:",9.17777777777778,18.1111111111111,11.4719274691358,7,0.3
"Mailand","Italien :it:",9.11111111111111,18.2333333333333,10.8556117283951,8,1.1
"Danzig","Polen :pl:",8.51111111111111,11.2444444444444,9.94663456790123,9,0
"Maribor","Slowenien :si:",8.15555555555556,13.7888888888889,8.34206635802469,7,0.7
"Ljubljana","Slowenien :si:",8.66666666666667,15.5777777777778,9.30969938271605,8,0.8
