"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"09.02.2026",8.4,5.7,8.44913888888889,0,0
"10.02.2026",7.8,8.5,5.74668055555556,0,0
"11.02.2026",1,8.5,0.299961111111111,3.1,14
"12.02.2026",3.7,9.3,3.124225,2.4,7
"13.02.2026",5.8,8.6,6.520475,0,4
"14.02.2026",1,2.8,0,7.2,11
"15.02.2026",4.2,0.3,9.13162222222222,0,8
"16.02.2026",2.6,6.1,9.17664444444444,0.4,15
"17.02.2026",1.4,6.6,4.19730277777778,3.1,15
"18.02.2026",6.8,7.2,9.29108055555556,1.4,0
"19.02.2026",4.5,3,9.23258888888889,0.8,7
