"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",8.3,14.3,7.0412625,4,0
"München","Deutschland :de:",8.6,14.275,8.09929583333333,4,0
"Hamburg","Deutschland :de:",7.7,13.55,4.45032430555556,3,0.4
"Köln","Deutschland :de:",7.75,15.925,5.76487361111111,3,0.5
"Dresden","Deutschland :de:",8.4,15.65,7.67972361111111,4,0
"Leipzig","Deutschland :de:",8.45,15.475,7.66146527777778,4,0
"Frankfurt am Main","Deutschland :de:",8.25,12.9,7.47336388888889,4,0
"Freiburg im Breisgau","Deutschland :de:",8.55,16.9,8.15265138888889,3,0.9
"Berchtesgaden","Deutschland :de:",8.7,15.2,8.16515416666667,4,0
"Garmisch-Partenkirchen","Deutschland :de:",8.75,16.525,8.15474236111111,4,0
"Binz (Rügen)","Deutschland :de:",7.6,11.725,4.48134166666667,3,0.4
"Heringsdorf (Usedom)","Deutschland :de:",7.85,11.9,5.10081666666667,3,0.3
"Westerland (Sylt)","Deutschland :de:",5.9,12.175,0.773465972222222,2,8.4
"Wernigerode (Harz)","Deutschland :de:",8.35,15.7,6.78176597222222,4,0
"Cochem (Mosel)","Deutschland :de:",8.25,16.65,7.80771111111111,4,0
"Kempten (Allgäu)","Deutschland :de:",8.55,15.725,7.96196041666667,3,0.2
"Nürnberg","Deutschland :de:",8.35,12.8,7.93118888888889,4,0
"Münster","Deutschland :de:",8.15,15.8,6.625,4,0
"Stuttgart","Deutschland :de:",8.65,16.45,8.03757916666667,4,0
"Norderney","Deutschland :de:",7,12.55,4.24224027777778,2,1.7
"Erfurt","Deutschland :de:",8.4,15.875,7.69645,4,0
"Bremen","Deutschland :de:",7.4,13.975,3.45759097222222,2,1
"Timmendorfer Strand","Deutschland :de:",7.55,12.95,4.86110069444444,3,1.1
"Karlsbad","Tschechien :cz:",8.2,11.425,7.87291458333333,4,0
"Enschede","Niederlande :nl:",7.75,15.025,5.01335138888889,4,0
"Pilsen","Tschechien :cz:",8.05,8.975,6.59219513888889,4,0
"Maastricht","Niederlande :nl:",8.2,16.775,7.66744236111111,4,0
"Giethoorn","Niederlande :nl:",7.2,14.2,4.38898958333333,2,1.2
"Groningen","Niederlande :nl:",6.8,13.775,4.01432847222222,1,5.4
"Eindhoven","Niederlande :nl:",7.75,15.875,5.96084236111111,2,1.3
"Prag","Tschechien :cz:",8.2,10.125,7.64775555555556,4,0
"Luxemburg","Luxemburg :lu:",8.05,15.075,7.83523333333333,3,0.1
"Straßburg","Frankreich :fr:",8.4,15.125,7.91519861111111,3,0.3
"Amsterdam","Niederlande :nl:",7.5,14.475,5.84024305555556,2,2
"Dinant","Belgien :be:",8.1,16.325,7.80917916666667,3,0.6
"Rotterdam","Niederlande :nl:",7.55,15.1,6.72559722222222,2,1.4
"Antwerpen","Belgien :be:",7.95,15.625,6.98729305555556,3,0.1
"Zandvoort","Niederlande :nl:",7.35,14.1,5.75043888888889,3,0.6
"Český Krumlov","Tschechien :cz:",8.25,9.525,8.02418888888889,4,0
"Terschelling","Niederlande :nl:",7.05,13.6,4.38125694444444,1,1.6
"Noordwijk","Niederlande :nl:",7.3,14.95,5.84619930555556,2,1.2
"Bergen aan Zee","Niederlande :nl:",7,14.325,5.73886666666667,0,4.8
"Nancy","Frankreich :fr:",8.15,16.475,7.33454652777778,3,3.6
"Brüssel","Belgien :be:",7.95,16.2,7.62717708333333,3,1.3
"Texel","Niederlande :nl:",7.1,14.025,5.39371111111111,1,2.3
"Scheveningen","Niederlande :nl:",7.4,15.025,5.86155972222222,2,2.8
"Fåborg","Dänemark :dk:",6.3,11.8,2.0593875,0,6.2
"Salzburg","Österreich :at:",8.45,11.975,8.13642777777778,4,0
"Renesse","Niederlande :nl:",7.35,15.45,6.96223888888889,1,6.8
"Linz","Österreich :at:",8.4,9.85,7.80547708333333,4,0
"Zürich","Schweiz :ch:",8.2,12.8,6.8983375,3,1
"Basel","Schweiz :ch:",8.4,16.275,8.19853888888889,3,1.2
"Innsbruck","Österreich :at:",8.7,15.375,8.19633263888889,4,0
"Domburg","Niederlande :nl:",7.5,15.475,7.03430069444445,2,3.2
"Breslau","Polen :pl:",8.2,12.4,7.6127,4,0
"Køge","Dänemark :dk:",6.75,12.25,3.04269930555556,1,2.4
"Posen","Polen :pl:",8.25,12,7.20994444444444,4,0
"Zell am See","Österreich :at:",8.7,15.825,8.18110416666667,4,0
"Brügge","Belgien :be:",7.65,15.775,7.29014097222222,2,3
"Hallstatt","Österreich :at:",8.8,16.825,8.20182916666667,4,0
"Luzern","Schweiz :ch:",8.4,13.9,8.26979097222222,3,0.8
"De Haan","Belgien :be:",7.75,15.725,7.35984722222222,2,1
"Ostende","Belgien :be:",7.7,15.8,7.197575,2,2.2
"Kopenhagen","Dänemark :dk:",6.3,11.9,2.32566805555556,0,8.5
"Malmö","Schweden :se:",6.75,11.75,3.5073875,1,3.1
"Brünn","Tschechien :cz:",7.55,8.425,3.85557638888889,4,0
"Meran","Italien :it:",7.85,11.85,5.82563194444444,3,0.2
"Bern","Schweiz :ch:",8.35,13.975,8.28703125,3,1.1
"Bornholm","Dänemark :dk:",7.05,10.8,5.20707986111111,2,2.5
"Aarhus","Dänemark :dk:",5.9,11.6,1.44890902777778,0,9.4
"St. Moritz","Schweiz :ch:",7.05,8.275,5.04519444444444,2,3
"Hvide Sande","Dänemark :dk:",5.05,10.95,0,0,12.2
"Interlaken","Schweiz :ch:",8.6,16.725,8.33566111111111,3,1.8
