"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"09.02.2026",3,16.3,1.18325,4.8,8
"10.02.2026",1.8,16.4,0,10.5,9
"11.02.2026",1,16.3,0,7.3,14
"12.02.2026",5.2,15.2,4.10001944444444,4.2,5
"13.02.2026",2,14.9,9.758475,6.3,14
"14.02.2026",6.8,15.5,0,0,0
"15.02.2026",8.4,15.4,9.80942222222222,0,0
"16.02.2026",8.6,14.9,9.40935555555556,0,0
"17.02.2026",8.6,15,9.87229166666667,0,0
"18.02.2026",8.4,13.9,10.0050083333333,0,0
"19.02.2026",8.6,13.5,10.1269555555556,0,0
