"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"03.05.2026",9,13.4,13.8312583333333,0,0
"04.05.2026",8,15.4,2.669275,0,0
"05.05.2026",9.4,17.7,12.9242555555556,0,0
"06.05.2026",9.4,16.3,13.9698194444444,0,0
"07.05.2026",9.4,18.5,13.9821138888889,0,0
"08.05.2026",9.6,23.1,11.5390916666667,0,0
"09.05.2026",8.6,21.4,11.7130194444444,1.5,0
"10.05.2026",9.2,18.6,14.0676694444444,0,0
"11.05.2026",9.4,20.2,13.49275,0,0
"12.05.2026",9.4,25.7,14.2408138888889,0,0
"13.05.2026",8.6,19.8,14.296825,0.6,0
