"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"26.04.2026",9.8,21.9,13,0,0
"27.04.2026",10,24.6,13.1627055555556,0,0
"28.04.2026",10,24.1,13.4304861111111,0,0
"29.04.2026",9.8,23.9,12.2942277777778,0,0
"30.04.2026",9,20.7,11.9110472222222,0,0
"01.05.2026",9.4,18.9,13.8909888888889,0,0
"02.05.2026",9.6,21.2,13.8988472222222,0,0
"03.05.2026",8.2,22.2,13.9052916666667,8.4,0
"04.05.2026",9,18.6,12.8597111111111,0,0
"05.05.2026",8.8,19,13.9358666666667,0,0
"06.05.2026",9.2,20.3,14.0253194444444,0,0
