"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",7.16,10.42,8.734375,3,3
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",4.26,7.16,6.41600777777778,0,10.2
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",6.4,9.24,9.04771722222222,2,7
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",5,8.14,6.80244555555556,0,13.9
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",6.34,9.24,5.828695,2,3.9
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",6.6,9.48,7.39967555555556,3,6.1
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",6.92,9.36,8.69759333333333,3,3
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",5.8,8.14,7.70946055555556,2,8.6
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",2.46,5.08,4.55676,0,46.3
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",2.8,4.4,6.36278722222222,0,35.3
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",7.1,8.34,9.66598833333333,4,2.4
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",7.16,8.3,9.17439111111111,4,2.4
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",6.88,5.54,9.99380611111111,2,1.4
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",6.02,7.74,9.87201444444444,3,5.66
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",5.56,8.08,7.15654888888889,1,7.7
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",3.1,5.6,7.59122888888889,0,13.16
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",6.9,9.32,9.03352,3,1.6
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",5.46,8.3,8.23247888888889,0,9.7
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",6.14,9.32,10.2166188888889,3,1.45
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",5.64,6.78,10.5751027777778,2,4.8
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",6.58,8.6,9.21504611111111,2,4.8
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",6.4,8.84,7.67452722222222,3,6.1
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",7.06,9.7,9.94758777777778,4,3.8
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",6.8,7.64,7.30355888888889,3,2
"Enschede","Niederlande",52.2203520784103,6.89276277399481,"Enschede, Niederlande",5.42,8.44,8.78655611111111,1,16.6
"Pilsen","Tschechien",49.738291083662,13.373815095209,"Pilsen, Tschechien",7.16,8.8,6.20424833333333,2,2
"Maastricht","Niederlande",50.8512438,5.6909768,"Maastricht, Niederlande",4.32,8.96,6.61087,1,14.8
"Giethoorn","Niederlande",52.741105,6.077431,"Giethoorn, Niederlande",5.12,8.74,8.45061055555555,1,16.1
"Groningen","Niederlande",53.2194889849201,6.56569017951351,"Groningen, Niederlande",5.14,8.36,9.696835,1,15.6
"Eindhoven","Niederlande",51.4380321789511,5.47601718115641,"Eindhoven, Niederlande",5.5,8.92,8.49976888888889,0,9
"Prag","Tschechien",50.0874654,14.4212535,"Prag, Tschechien",6.92,9.58,5.56775888888889,2,4.4
"Luxemburg","Luxemburg",49.6121816191827,6.12761269146448,"Luxemburg",6.02,7.18,7.73319,1,5.6
"Straßburg","Frankreich",48.584614,7.7507127,"Straßburg, Frankreich",6.86,9.14,8.12148333333333,2,1.96
"Amsterdam","Niederlande",52.3730796,4.8924534,"Amsterdam, Niederlande",4.94,8.88,9.07560444444444,1,14.9
"Dinant","Belgien",50.2591813,4.9130588,"Dinant, Belgien",4.66,8.58,7.38231777777778,0,10.9
"Rotterdam","Niederlande",51.9244424,4.47775,"Rotterdam, Niederlande",4.66,9.2,9.07829777777778,1,13.5
"Antwerpen","Belgien",51.2211097,4.3997081,"Antwerpen, Belgien",4.96,9.08,9.14296833333333,2,11.2
"Zandvoort","Niederlande",52.3719838,4.5302209,"Zandvoort, Niederlande",4.08,8,9.01585055555556,1,12.2
"Český Krumlov","Tschechien",48.8106526,14.3150586,"Český Krumlov, Tschechien",5.88,6.18,5.31484277777778,1,33.3
"Terschelling","Niederlande",53.3643463061866,5.21443497127834,"Terschelling, Niederlande",5.48,7.46,9.22959611111111,2,7.1
"Noordwijk","Niederlande",52.2410856,4.4461969,"Noordwijk, Niederlande",4.08,8.64,9.16335944444444,1,11.8
"Bergen aan Zee","Niederlande",52.6607662,4.6316645,"Bergen aan Zee, Niederlande",4.9,8.48,8.71116222222222,1,8.9
"Nancy","Frankreich",48.6896465492961,6.18236505173213,"Nancy, Frankreich",6.76,8.64,8.90850777777778,3,3.8
"Brüssel","Belgien",50.8465573,4.351697,"Brüssel, Belgien",5,8.7,9.56984722222222,0,9.1
"Texel","Niederlande",53.0543143461686,4.79876535287512,"Texel, Niederlande",5.6,8.22,8.91453111111111,1,7.1
"Scheveningen","Niederlande",52.1067449,4.2736937,"Scheveningen, Niederlande",4.58,8.78,9.28281277777778,1,12
"Fåborg","Dänemark",55.097087,10.2428246,"Fåborg, Dänemark",6.78,7.56,8.71241055555556,3,2
"Salzburg","Österreich",47.7981346,13.0464806,"Salzburg, Österreich",2.58,6.66,5.01887666666667,0,41.1
"Renesse","Niederlande",51.7311823,3.7719799,"Renesse, Niederlande",4.7,8.72,9.27033777777778,1,8.7
"Linz","Österreich",48.3059078,14.286198,"Linz, Österreich",5.4,8.58,4.52957111111111,1,28.36
"Zürich","Schweiz",47.3744489,8.5410422,"Zürich, Schweiz",4.74,8.48,9.20754777777778,1,6.55
"Basel","Schweiz",47.5589680548118,7.58875075727046,"Basel, Schweiz",5.4,8.34,7.932075,2,4.85
"Innsbruck","Österreich",47.2654296,11.3927685,"Innsbruck, Österreich",3.6,5.6,6.66761,0,17.46
"Domburg","Niederlande",51.5632141,3.4967277,"Domburg, Niederlande",4.62,8.78,9.41339777777778,1,14.2
"Breslau","Polen",51.1082644352883,17.0337679840311,"Breslau, Polen",6.64,10.24,6.01714166666667,2,16.9
"Køge","Dänemark",55.4565009,12.1818964,"Køge, Dänemark",6.78,8.94,10.1328744444444,3,9.3
"Posen","Polen",52.4082663,16.9335199,"Posen, Polen",7.8,11.84,8.42722777777778,3,2.1
"Zell am See","Österreich",47.3239636,12.7963165,"Zell am See, Österreich",2.46,3.52,4.57054333333333,0,38.16
"Brügge","Belgien",51.2085526,3.226772,"Brügge, Belgien",4.8,9.16,9.24014444444444,1,10.9
"Hallstatt","Österreich",47.5621698,13.6486697,"Hallstatt, Österreich",2.36,4.8,4.33828388888889,0,51.5
"Luzern","Schweiz",47.0505452,8.3054682,"Luzern, Schweiz",4.14,7.52,8.96967055555556,0,18.76
