"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"15.03.2026",8.6,9.1,8.09555,0,0
"16.03.2026",6.8,7.9,9.96213333333333,0.5,2
"17.03.2026",6.8,9.2,0.0705222222222222,0.4,0
"18.03.2026",9,14.3,10.2657166666667,0,0
"19.03.2026",6.6,8.3,5.94863611111111,3.2,0
"20.03.2026",8,6.3,6.66738888888889,0,0
"21.03.2026",7.2,9.9,6.43799166666667,4.3,0
"22.03.2026",8.6,11.4,11.1564333333333,0,0
"23.03.2026",8.6,11.2,11.1912666666667,0,0
"24.03.2026",8.6,14.9,11.2242388888889,0,0
"25.03.2026",7.6,9.4,5.27882222222222,0.3,0
