"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"21.03.2026",8.8,9.8,10.4532555555556,0,0
"22.03.2026",8.8,11.7,11.0093916666667,0,0
"23.03.2026",8.8,11.6,10.23895,0,0
"24.03.2026",8,13.6,5.57539444444444,0,0
"25.03.2026",1.4,9.2,5.54874722222222,6.5,15
"26.03.2026",1.2,7.7,7.50291388888889,7.8,14
"27.03.2026",5.2,5.9,0,1.8,0
"28.03.2026",6.6,8.2,10.9321138888889,2.5,0
"29.03.2026",7.6,10,11.6933722222222,0.6,0
"30.03.2026",7.6,8.9,11.7441972222222,0.1,0
"31.03.2026",7.6,9.6,6.91159166666667,0,0
