"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg","(HH)",5.8,2.64285714285714,2.13159682539683,3,14.46
"Berlin","Berlin","Berlin","(BE)",6.34285714285714,0.814285714285714,3.22585277777778,4,5.4
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern","(MV)",5.82857142857143,1.1,1.77422976190476,4,7.8
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein","(SH)",5.74285714285714,3.01428571428571,2.3342246031746,2,21.04
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein","(SH)",5.77142857142857,2.27142857142857,1.97149166666667,3,10.66
"Norderney","Niedersachsen","Norderney, Niedersachsen","(NI)",5.74285714285714,4.01428571428571,0.0815793650793651,4,7.1
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern","(MV)",5.88571428571429,1.75714285714286,1.92077817460317,4,8.3
"Dresden","Sachsen","Dresden, Sachsen","(SN)",6.05714285714286,2.25714285714286,3.36219920634921,3,9.4
"München","Bayern","München, Bayern","(BY)",6.85714285714286,2.88571428571429,5.32460396825397,6,0.2
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen","(NW)",5.35714285714286,6.04285714285714,3.89939642857143,2,11
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern","(MV)",5.68571428571429,0.842857142857143,2.08976031746032,3,5.6
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen","(NI)",5.45714285714286,3.2,2.47421944444444,3,20.2
"Leipzig","Sachsen","Leipzig, Sachsen","(SN)",6.48571428571429,2.67142857142857,3.49805119047619,4,8.66
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen","(HE)",6,2.97142857142857,3.42838571428571,4,8.45
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein","(SH)",5.91428571428571,2.17142857142857,1.98956428571429,3,9.9
