"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"07.05.2026",4.6,19.4,7.00429722222222,1.3,8
"08.05.2026",8.8,21,8.93813888888889,0.1,0
"09.05.2026",1.9,18.3,3.10294166666667,20,11
"10.05.2026",9.8,27.8,13.9865694444444,0,0
"11.05.2026",9.6,28.2,13.909675,0,0
"12.05.2026",9.6,29.9,13.4148222222222,0,0
"13.05.2026",9.4,29.7,14,0,0
"14.05.2026",9,22.7,13.8074444444444,1.4,0
"15.05.2026",9.2,24.8,14,0.6,0
"16.05.2026",9.8,22.5,14,0,0
"17.05.2026",9.8,24.5,12.1943444444444,0,0
